Algorithm,Hari,Jam,Prodi,Kode_MK,Nama_MK,Jenis,Ruang,Dosen,Fitness,Heavy_Total,Light_Total,Feasible
COA,Fri,7,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F2.6,108,3.995844321905218e-06,250,259,False
COA,Fri,7,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F4.14,108,3.995844321905218e-06,250,259,False
COA,Thu,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,LAB-96,108,3.995844321905218e-06,250,259,False
COA,Wed,13,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.10,4,3.995844321905218e-06,250,259,False
COA,Wed,13,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.9,4,3.995844321905218e-06,250,259,False
COA,Mon,14,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.14,4,3.995844321905218e-06,250,259,False
COA,Wed,15,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F4.2,22,3.995844321905218e-06,250,259,False
COA,Thu,10,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.10,22,3.995844321905218e-06,250,259,False
COA,Thu,15,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F2.5,22,3.995844321905218e-06,250,259,False
COA,Tue,9,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F2.9,40,3.995844321905218e-06,250,259,False
COA,Mon,7,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F4.9,40,3.995844321905218e-06,250,259,False
COA,Tue,7,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.11,40,3.995844321905218e-06,250,259,False
COA,Tue,12,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F11.3,76,3.995844321905218e-06,250,259,False
COA,Mon,17,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F2.5,76,3.995844321905218e-06,250,259,False
COA,Fri,10,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F4.14,76,3.995844321905218e-06,250,259,False
COA,Thu,9,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.13,76,3.995844321905218e-06,250,259,False
COA,Wed,9,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.10,76,3.995844321905218e-06,250,259,False
COA,Wed,17,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F4.5,76,3.995844321905218e-06,250,259,False
COA,Fri,15,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F2.2,47,3.995844321905218e-06,250,259,False
COA,Tue,13,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.7b,47,3.995844321905218e-06,250,259,False
COA,Wed,7,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F11.3,47,3.995844321905218e-06,250,259,False
COA,Wed,13,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F4.10,48,3.995844321905218e-06,250,259,False
COA,Thu,8,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F3.5b,48,3.995844321905218e-06,250,259,False
COA,Tue,8,Pendidikan Teknologi Informasi,COM60061,Capstone Project,lecture,F4.9,48,3.995844321905218e-06,250,259,False
COA,Mon,9,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F3.7b,94,3.995844321905218e-06,250,259,False
COA,Mon,13,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F3.1,94,3.995844321905218e-06,250,259,False
COA,Fri,15,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F3.5a,4,3.995844321905218e-06,250,259,False
COA,Thu,15,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F3.1,4,3.995844321905218e-06,250,259,False
COA,Mon,7,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F4.7,22,3.995844321905218e-06,250,259,False
COA,Thu,12,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F4.13,22,3.995844321905218e-06,250,259,False
COA,Tue,10,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F4.9,48,3.995844321905218e-06,250,259,False
COA,Tue,15,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F3.14,48,3.995844321905218e-06,250,259,False
COA,Mon,12,Pendidikan Teknologi Informasi,COM60052,Etika Profesi,lecture,F4.6,77,3.995844321905218e-06,250,259,False
