iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,0.00000375,266790,262,479,False,4.67
2,0.00000375,266790,262,479,False,9.29
3,0.00000379,263870,259,487,False,13.82
4,0.00000379,263870,259,487,False,18.2
5,0.00000382,261920,257,492,False,22.93
6,0.00000383,260810,256,481,False,27.63
7,0.00000385,259710,255,471,False,32.18
8,0.00000385,259710,255,471,False,37.07
9,0.00000385,259710,255,471,False,42.02
10,0.00000385,259710,255,471,False,46.8
11,0.00000385,259710,255,471,False,51.36
12,0.00000385,259710,255,471,False,56.17
13,0.00000385,259710,255,471,False,60.53
14,0.00000385,259710,255,471,False,65.39
15,0.00000385,259710,255,471,False,69.78
16,0.00000385,259710,255,471,False,74.23
17,0.00000385,259710,255,471,False,78.72
18,0.00000385,259710,255,471,False,83.29
19,0.00000385,259710,255,471,False,87.68
20,0.00000385,259710,255,471,False,92.12
21,0.00000385,259710,255,471,False,96.57
22,0.00000385,259710,255,471,False,100.99
23,0.00000385,259710,255,471,False,105.41
24,0.00000385,259710,255,471,False,109.82
25,0.00000389,256760,252,476,False,114.29
26,0.00000389,256760,252,476,False,118.67
27,0.00000389,256760,252,476,False,123.11
28,0.00000389,256760,252,476,False,127.6
29,0.00000389,256760,252,476,False,132.08
30,0.00000389,256760,252,476,False,136.49
31,0.00000389,256760,252,476,False,140.97
32,0.00000389,256760,252,476,False,145.37
33,0.00000389,256760,252,476,False,149.88
34,0.00000389,256760,252,476,False,154.33
35,0.00000389,256760,252,476,False,158.8
36,0.00000389,256760,252,476,False,163.21
37,0.00000389,256760,252,476,False,167.64
38,0.00000401,249600,245,460,False,172.01
39,0.00000401,249600,245,460,False,176.41
40,0.00000401,249600,245,460,False,180.78
41,0.00000401,249600,245,460,False,185.18
42,0.00000401,249600,245,460,False,189.58
43,0.00000401,249600,245,460,False,194.05
44,0.00000401,249600,245,460,False,198.46
45,0.00000401,249600,245,460,False,202.85
46,0.00000401,249600,245,460,False,207.31
47,0.00000401,249600,245,460,False,211.72
48,0.00000401,249600,245,460,False,216.21
49,0.00000401,249600,245,460,False,220.64
50,0.00000401,249600,245,460,False,225.1
51,0.00000401,249600,245,460,False,229.49
52,0.00000401,249600,245,460,False,233.95
53,0.00000401,249600,245,460,False,238.36
54,0.00000401,249600,245,460,False,242.85
55,0.00000401,249600,245,460,False,247.3
56,0.00000401,249600,245,460,False,251.68
57,0.00000401,249600,245,460,False,256.17
58,0.00000401,249600,245,460,False,260.55
59,0.00000401,249600,245,460,False,265.17
60,0.00000401,249600,245,460,False,269.6
61,0.00000401,249600,245,460,False,274.03
62,0.00000401,249600,245,460,False,278.44
63,0.00000401,249600,245,460,False,282.92
64,0.00000401,249600,245,460,False,287.39
65,0.00000401,249600,245,460,False,292.15
66,0.00000401,249600,245,460,False,296.67
67,0.00000401,249600,245,460,False,301.07
68,0.00000401,249600,245,460,False,305.54
69,0.00000401,249600,245,460,False,309.93
70,0.00000401,249600,245,460,False,314.39
71,0.00000401,249600,245,460,False,318.81
72,0.00000401,249600,245,460,False,323.26
73,0.00000401,249600,245,460,False,327.7
74,0.00000401,249600,245,460,False,332.16
75,0.00000401,249600,245,460,False,336.55
76,0.00000401,249600,245,460,False,341.01
77,0.00000401,249600,245,460,False,345.47
78,0.00000401,249600,245,460,False,349.87
79,0.00000401,249600,245,460,False,354.29
80,0.00000401,249600,245,460,False,358.69
81,0.00000401,249600,245,460,False,363.13
82,0.00000401,249600,245,460,False,367.56
83,0.00000401,249600,245,460,False,372.03
84,0.00000401,249600,245,460,False,376.42
85,0.00000401,249600,245,460,False,381.03
86,0.00000401,249600,245,460,False,385.46
87,0.00000401,249600,245,460,False,389.92
88,0.00000401,249600,245,460,False,394.32
89,0.00000401,249600,245,460,False,398.8
90,0.00000401,249600,245,460,False,403.26
91,0.00000401,249600,245,460,False,407.68
92,0.00000401,249600,245,460,False,412.07
93,0.00000401,249600,245,460,False,416.53
94,0.00000401,249570,245,457,False,420.94
95,0.00000401,249570,245,457,False,425.36
96,0.00000401,249570,245,457,False,429.73
97,0.00000401,249570,245,457,False,434.18
98,0.00000401,249570,245,457,False,438.6
99,0.00000401,249570,245,457,False,443.07
100,0.00000401,249570,245,457,False,447.48
101,0.00000401,249570,245,457,False,451.94
102,0.00000401,249570,245,457,False,456.33
103,0.00000401,249570,245,457,False,460.81
104,0.00000401,249570,245,457,False,465.42
105,0.00000401,249570,245,457,False,469.87
106,0.00000401,249570,245,457,False,474.31
107,0.00000401,249570,245,457,False,478.77
108,0.00000401,249570,245,457,False,483.32
109,0.00000401,249570,245,457,False,487.82
110,0.00000401,249570,245,457,False,492.34
111,0.00000401,249570,245,457,False,496.75
112,0.00000401,249570,245,457,False,501.21
113,0.00000401,249570,245,457,False,505.61
114,0.00000401,249570,245,457,False,510.08
115,0.00000401,249570,245,457,False,514.5
116,0.00000401,249570,245,457,False,518.97
117,0.00000401,249570,245,457,False,523.4
118,0.00000401,249570,245,457,False,527.87
119,0.00000401,249570,245,457,False,532.25
120,0.00000401,249570,245,457,False,536.72
121,0.00000401,249570,245,457,False,541.12
122,0.00000401,249570,245,457,False,545.61
123,0.00000401,249570,245,457,False,550.02
124,0.00000401,249570,245,457,False,554.48
125,0.00000401,249570,245,457,False,558.92
126,0.00000401,249570,245,457,False,563.41
127,0.00000401,249570,245,457,False,567.86
128,0.00000401,249570,245,457,False,572.36
129,0.00000401,249570,245,457,False,576.87
130,0.00000401,249570,245,457,False,581.63
131,0.00000401,249570,245,457,False,586.09
132,0.00000401,249570,245,457,False,590.53
133,0.00000401,249570,245,457,False,595.04
134,0.00000401,249570,245,457,False,599.47
135,0.00000401,249570,245,457,False,603.93
136,0.00000401,249570,245,457,False,608.37
137,0.00000401,249570,245,457,False,612.87
138,0.00000401,249570,245,457,False,617.28
139,0.00000401,249570,245,457,False,621.73
140,0.00000401,249570,245,457,False,626.11
141,0.00000401,249570,245,457,False,630.63
142,0.00000401,249570,245,457,False,635.12
143,0.00000401,249570,245,457,False,639.57
144,0.00000401,249570,245,457,False,644.07
145,0.00000401,249570,245,457,False,648.46
146,0.00000401,249570,245,457,False,652.92
147,0.00000401,249570,245,457,False,657.35
148,0.00000401,249570,245,457,False,662.04
149,0.00000401,249570,245,457,False,666.48
150,0.00000401,249570,245,457,False,670.96
151,0.00000401,249570,245,457,False,675.37
152,0.00000403,247850,243,485,False,679.84
153,0.00000403,247850,243,485,False,684.24
154,0.00000403,247850,243,485,False,688.69
155,0.00000403,247850,243,485,False,693.09
156,0.00000403,247850,243,485,False,697.55
157,0.00000403,247850,243,485,False,701.97
158,0.00000403,247850,243,485,False,706.42
159,0.00000403,247850,243,485,False,710.81
160,0.00000403,247850,243,485,False,715.25
161,0.00000403,247850,243,485,False,719.65
162,0.00000403,247850,243,485,False,724.12
163,0.00000403,247850,243,485,False,728.54
164,0.00000403,247850,243,485,False,733.01
165,0.00000403,247850,243,485,False,737.46
166,0.00000403,247850,243,485,False,741.86
167,0.00000403,247850,243,485,False,746.27
168,0.00000404,247590,243,459,False,750.74
169,0.00000404,247590,243,459,False,755.16
170,0.00000404,247590,243,459,False,759.63
171,0.00000404,247590,243,459,False,764.15
172,0.00000404,247590,243,459,False,768.55
173,0.00000404,247590,243,459,False,773.02
174,0.00000404,247590,243,459,False,777.46
175,0.00000404,247590,243,459,False,782.0
176,0.00000404,247590,243,459,False,786.44
177,0.00000404,247590,243,459,False,790.93
178,0.00000404,247590,243,459,False,795.37
179,0.00000404,247590,243,459,False,799.82
180,0.00000404,247590,243,459,False,804.23
181,0.00000404,247590,243,459,False,808.69
182,0.00000404,247590,243,459,False,813.12
183,0.00000404,247590,243,459,False,817.96
184,0.00000404,247590,243,459,False,823.37
185,0.00000404,247590,243,459,False,828.18
186,0.00000404,247590,243,459,False,833.09
187,0.00000404,247590,243,459,False,838.1
188,0.00000404,247590,243,459,False,842.88
189,0.00000404,247590,243,459,False,847.26
190,0.00000404,247590,243,459,False,851.66
191,0.00000404,247590,243,459,False,856.0
192,0.00000404,247590,243,459,False,860.43
193,0.00000404,247590,243,459,False,864.8
194,0.00000404,247590,243,459,False,869.21
195,0.00000404,247590,243,459,False,873.54
196,0.00000404,247590,243,459,False,877.94
197,0.00000404,247590,243,459,False,882.29
198,0.00000404,247590,243,459,False,886.68
199,0.00000404,247590,243,459,False,891.04
200,0.00000404,247590,243,459,False,895.43
201,0.00000404,247590,243,459,False,899.78
202,0.00000404,247590,243,459,False,904.18
203,0.00000404,247590,243,459,False,908.55
204,0.00000404,247590,243,459,False,912.93
205,0.00000404,247590,243,459,False,917.29
206,0.00000404,247590,243,459,False,921.69
207,0.00000404,247590,243,459,False,926.05
208,0.00000404,247590,243,459,False,930.44
209,0.00000404,247590,243,459,False,934.76
210,0.00000404,247590,243,459,False,939.15
211,0.00000404,247590,243,459,False,943.49
212,0.00000404,247590,243,459,False,947.86
213,0.00000404,247590,243,459,False,952.18
214,0.00000404,247590,243,459,False,956.57
215,0.00000404,247590,243,459,False,960.9
216,0.00000404,247590,243,459,False,965.29
217,0.00000404,247590,243,459,False,969.63
218,0.00000404,247590,243,459,False,974.02
219,0.00000404,247590,243,459,False,978.35
220,0.00000404,247590,243,459,False,982.76
221,0.00000404,247590,243,459,False,987.14
222,0.00000404,247590,243,459,False,991.54
223,0.00000404,247590,243,459,False,995.86
224,0.00000404,247590,243,459,False,1000.3
225,0.00000404,247590,243,459,False,1004.63
226,0.00000404,247590,243,459,False,1009.03
227,0.00000404,247590,243,459,False,1013.38
228,0.00000404,247590,243,459,False,1017.76
229,0.00000404,247590,243,459,False,1022.13
230,0.00000404,247590,243,459,False,1026.48
231,0.00000404,247590,243,459,False,1030.91
232,0.00000404,247590,243,459,False,1035.27
233,0.00000404,247590,243,459,False,1039.68
234,0.00000404,247590,243,459,False,1044.03
235,0.00000404,247590,243,459,False,1048.58
236,0.00000404,247590,243,459,False,1052.98
237,0.00000404,247590,243,459,False,1057.4
238,0.00000404,247590,243,459,False,1061.76
239,0.00000404,247590,243,459,False,1066.18
240,0.00000404,247590,243,459,False,1070.59
241,0.00000404,247590,243,459,False,1074.97
242,0.00000404,247590,243,459,False,1079.33
243,0.00000404,247590,243,459,False,1083.83
244,0.00000404,247590,243,459,False,1088.27
245,0.00000404,247590,243,459,False,1092.8
246,0.00000404,247590,243,459,False,1097.21
247,0.00000404,247590,243,459,False,1101.57
248,0.00000404,247590,243,459,False,1105.97
249,0.00000404,247590,243,459,False,1110.33
250,0.00000404,247590,243,459,False,1114.76
251,0.00000404,247590,243,459,False,1119.13
252,0.00000404,247590,243,459,False,1123.59
253,0.00000404,247590,243,459,False,1127.95
254,0.00000404,247590,243,459,False,1132.36
255,0.00000404,247590,243,459,False,1136.68
256,0.00000404,247590,243,459,False,1141.07
257,0.00000404,247590,243,459,False,1145.43
258,0.00000404,247590,243,459,False,1149.84
259,0.00000404,247590,243,459,False,1154.18
260,0.00000404,247590,243,459,False,1158.58
261,0.00000404,247590,243,459,False,1162.94
262,0.00000404,247590,243,459,False,1167.4
263,0.00000404,247590,243,459,False,1171.75
264,0.00000404,247590,243,459,False,1176.17
265,0.00000404,247590,243,459,False,1180.51
266,0.00000404,247590,243,459,False,1184.91
267,0.00000404,247590,243,459,False,1189.25
268,0.00000404,247590,243,459,False,1193.66
269,0.00000404,247590,243,459,False,1198.04
270,0.00000404,247590,243,459,False,1202.5
271,0.00000404,247590,243,459,False,1206.92
272,0.00000404,247590,243,459,False,1211.41
273,0.00000404,247590,243,459,False,1215.76
274,0.00000404,247590,243,459,False,1220.15
275,0.00000404,247590,243,459,False,1224.48
276,0.00000404,247590,243,459,False,1228.86
277,0.00000404,247590,243,459,False,1233.25
278,0.00000404,247590,243,459,False,1237.62
279,0.00000404,247590,243,459,False,1242.03
280,0.00000404,247590,243,459,False,1246.47
281,0.00000404,247590,243,459,False,1251.02
282,0.00000404,247590,243,459,False,1255.47
283,0.00000404,247590,243,459,False,1259.92
284,0.00000404,247590,243,459,False,1264.28
285,0.00000404,247590,243,459,False,1268.66
286,0.00000404,247590,243,459,False,1273.03
287,0.00000404,247590,243,459,False,1277.42
288,0.00000404,247590,243,459,False,1281.86
289,0.00000404,247590,243,459,False,1286.25
290,0.00000404,247590,243,459,False,1290.59
291,0.00000404,247590,243,459,False,1294.96
292,0.00000404,247590,243,459,False,1299.34
293,0.00000404,247590,243,459,False,1303.73
294,0.00000404,247590,243,459,False,1308.07
295,0.00000404,247590,243,459,False,1312.45
296,0.00000404,247590,243,459,False,1316.85
297,0.00000404,247590,243,459,False,1321.2
298,0.00000404,247590,243,459,False,1325.6
299,0.00000404,247590,243,459,False,1329.94
300,0.00000404,247590,243,459,False,1334.33
301,0.00000404,247590,243,459,False,1338.67
302,0.00000404,247590,243,459,False,1343.09
303,0.00000404,247590,243,459,False,1347.46
304,0.00000404,247590,243,459,False,1351.88
305,0.00000404,247590,243,459,False,1356.22
306,0.00000404,247590,243,459,False,1360.66
307,0.00000404,247590,243,459,False,1365.0
308,0.00000404,247590,243,459,False,1369.39
309,0.00000404,247590,243,459,False,1373.73
310,0.00000404,247590,243,459,False,1378.12
311,0.00000404,247590,243,459,False,1382.45
312,0.00000404,247590,243,459,False,1386.86
313,0.00000404,247590,243,459,False,1391.29
314,0.00000404,247590,243,459,False,1395.65
315,0.00000404,247590,243,459,False,1399.98
316,0.00000404,247590,243,459,False,1404.38
317,0.00000404,247590,243,459,False,1408.78
318,0.00000404,247590,243,459,False,1413.22
319,0.00000404,247590,243,459,False,1417.63
320,0.00000404,247590,243,459,False,1422.01
321,0.00000404,247590,243,459,False,1426.41
322,0.00000404,247590,243,459,False,1430.77
323,0.00000404,247590,243,459,False,1435.2
324,0.00000404,247590,243,459,False,1439.57
325,0.00000404,247590,243,459,False,1443.96
326,0.00000404,247590,243,459,False,1448.51
327,0.00000404,247590,243,459,False,1452.92
328,0.00000404,247590,243,459,False,1457.32
329,0.00000404,247590,243,459,False,1461.69
330,0.00000404,247590,243,459,False,1466.06
331,0.00000404,247590,243,459,False,1470.5
332,0.00000404,247590,243,459,False,1474.93
333,0.00000404,247590,243,459,False,1479.29
334,0.00000404,247590,243,459,False,1483.75
335,0.00000404,247590,243,459,False,1488.1
336,0.00000404,247590,243,459,False,1492.52
337,0.00000404,247590,243,459,False,1496.89
338,0.00000404,247590,243,459,False,1501.29
339,0.00000404,247590,243,459,False,1505.67
340,0.00000404,247590,243,459,False,1510.07
341,0.00000404,247590,243,459,False,1514.44
342,0.00000404,247590,243,459,False,1518.86
343,0.00000404,247590,243,459,False,1523.26
344,0.00000404,247590,243,459,False,1527.58
345,0.00000404,247590,243,459,False,1531.94
346,0.00000404,247590,243,459,False,1536.35
347,0.00000404,247590,243,459,False,1540.74
348,0.00000404,247590,243,459,False,1545.07
349,0.00000404,247590,243,459,False,1549.47
350,0.00000404,247590,243,459,False,1553.81
351,0.00000404,247590,243,459,False,1558.21
352,0.00000404,247590,243,459,False,1562.61
353,0.00000404,247590,243,459,False,1567.03
354,0.00000404,247590,243,459,False,1571.42
355,0.00000404,247590,243,459,False,1575.84
356,0.00000404,247590,243,459,False,1580.18
357,0.00000404,247590,243,459,False,1584.57
358,0.00000404,247590,243,459,False,1588.97
359,0.00000404,247590,243,459,False,1593.31
360,0.00000404,247590,243,459,False,1597.65
361,0.00000404,247590,243,459,False,1602.07
362,0.00000404,247590,243,459,False,1606.46
363,0.00000404,247590,243,459,False,1610.79
364,0.00000404,247590,243,459,False,1615.17
365,0.00000404,247590,243,459,False,1619.52
366,0.00000404,247590,243,459,False,1623.93
367,0.00000404,247590,243,459,False,1628.28
368,0.00000404,247590,243,459,False,1632.67
369,0.00000404,247590,243,459,False,1637.03
370,0.00000404,247590,243,459,False,1641.44
371,0.00000404,247590,243,459,False,1645.91
372,0.00000404,247590,243,459,False,1650.29
373,0.00000404,247590,243,459,False,1654.68
374,0.00000404,247590,243,459,False,1659.03
375,0.00000404,247590,243,459,False,1663.43
376,0.00000404,247590,243,459,False,1667.86
377,0.00000404,247590,243,459,False,1672.3
378,0.00000404,247590,243,459,False,1676.66
379,0.00000404,247590,243,459,False,1681.23
380,0.00000404,247590,243,459,False,1685.61
381,0.00000404,247590,243,459,False,1690.04
382,0.00000404,247590,243,459,False,1694.43
383,0.00000404,247590,243,459,False,1698.86
384,0.00000404,247590,243,459,False,1703.22
385,0.00000404,247590,243,459,False,1707.64
386,0.00000404,247590,243,459,False,1712.05
387,0.00000404,247590,243,459,False,1716.48
388,0.00000404,247590,243,459,False,1720.87
389,0.00000404,247590,243,459,False,1725.3
390,0.00000404,247590,243,459,False,1729.69
391,0.00000404,247590,243,459,False,1734.12
392,0.00000404,247590,243,459,False,1738.5
393,0.00000404,247590,243,459,False,1742.93
394,0.00000404,247590,243,459,False,1747.34
395,0.00000404,247590,243,459,False,1751.7
396,0.00000404,247590,243,459,False,1756.08
397,0.00000404,247590,243,459,False,1760.49
398,0.00000404,247590,243,459,False,1764.88
399,0.00000404,247590,243,459,False,1769.21
400,0.00000404,247590,243,459,False,1773.61
401,0.00000404,247590,243,459,False,1777.99
402,0.00000404,247590,243,459,False,1782.41
403,0.00000404,247590,243,459,False,1786.78
404,0.00000404,247590,243,459,False,1791.17
405,0.00000404,247590,243,459,False,1795.54
406,0.00000404,247590,243,459,False,1799.96
407,0.00000404,247590,243,459,False,1804.33
408,0.00000404,247590,243,459,False,1808.74
409,0.00000404,247590,243,459,False,1813.18
410,0.00000404,247590,243,459,False,1817.5
411,0.00000404,247590,243,459,False,1821.87
412,0.00000404,247590,243,459,False,1826.29
413,0.00000404,247590,243,459,False,1830.69
414,0.00000404,247590,243,459,False,1835.02
415,0.00000404,247590,243,459,False,1839.42
