iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,262940.00000000,262940,258,494,False,4.76
2,260850.00000000,260850,256,485,False,9.42
3,260850.00000000,260850,256,485,False,14.14
4,260850.00000000,260850,256,485,False,18.84
5,260850.00000000,260850,256,485,False,23.45
6,260780.00000000,260780,256,478,False,28.12
7,260780.00000000,260780,256,478,False,32.74
8,260780.00000000,260780,256,478,False,37.38
9,260780.00000000,260780,256,478,False,41.98
10,260780.00000000,260780,256,478,False,46.63
11,260780.00000000,260780,256,478,False,51.23
12,258080.00000000,258080,253,508,False,55.92
13,258080.00000000,258080,253,508,False,60.57
14,258080.00000000,258080,253,508,False,65.23
15,258080.00000000,258080,253,508,False,69.86
16,258080.00000000,258080,253,508,False,74.6
17,258080.00000000,258080,253,508,False,79.21
18,258080.00000000,258080,253,508,False,83.85
19,258080.00000000,258080,253,508,False,88.45
20,258080.00000000,258080,253,508,False,93.1
21,258080.00000000,258080,253,508,False,97.72
22,258080.00000000,258080,253,508,False,102.39
23,258080.00000000,258080,253,508,False,106.97
24,258080.00000000,258080,253,508,False,111.63
25,258080.00000000,258080,253,508,False,116.22
26,258080.00000000,258080,253,508,False,120.99
27,256930.00000000,256930,252,493,False,125.62
28,256930.00000000,256930,252,493,False,130.25
29,256930.00000000,256930,252,493,False,134.99
30,256930.00000000,256930,252,493,False,139.59
31,256930.00000000,256930,252,493,False,144.25
32,256910.00000000,256910,252,491,False,148.9
33,256910.00000000,256910,252,491,False,153.78
34,256910.00000000,256910,252,491,False,158.39
35,256910.00000000,256910,252,491,False,163.05
36,256910.00000000,256910,252,491,False,167.75
37,256910.00000000,256910,252,491,False,172.41
38,256910.00000000,256910,252,491,False,177.02
39,252970.00000000,252970,248,497,False,181.76
40,252970.00000000,252970,248,497,False,186.36
41,252970.00000000,252970,248,497,False,191.01
42,252970.00000000,252970,248,497,False,195.66
43,252970.00000000,252970,248,497,False,200.66
44,252970.00000000,252970,248,497,False,205.28
45,252970.00000000,252970,248,497,False,209.99
46,252970.00000000,252970,248,497,False,214.68
47,252970.00000000,252970,248,497,False,219.34
48,252970.00000000,252970,248,497,False,223.93
49,252970.00000000,252970,248,497,False,228.58
50,252970.00000000,252970,248,497,False,233.18
51,252970.00000000,252970,248,497,False,237.85
52,252970.00000000,252970,248,497,False,242.46
53,252970.00000000,252970,248,497,False,247.12
54,252970.00000000,252970,248,497,False,251.72
55,252970.00000000,252970,248,497,False,256.39
56,252970.00000000,252970,248,497,False,261.07
57,252970.00000000,252970,248,497,False,265.68
58,252970.00000000,252970,248,497,False,270.36
59,252970.00000000,252970,248,497,False,274.99
60,252970.00000000,252970,248,497,False,279.65
61,252970.00000000,252970,248,497,False,284.27
62,252970.00000000,252970,248,497,False,288.92
63,252970.00000000,252970,248,497,False,293.5
64,252970.00000000,252970,248,497,False,298.34
65,252970.00000000,252970,248,497,False,302.94
66,252970.00000000,252970,248,497,False,307.54
67,252970.00000000,252970,248,497,False,312.23
68,252970.00000000,252970,248,497,False,316.94
69,252970.00000000,252970,248,497,False,321.77
70,252970.00000000,252970,248,497,False,326.44
71,252970.00000000,252970,248,497,False,331.05
72,252970.00000000,252970,248,497,False,335.71
73,252970.00000000,252970,248,497,False,340.33
74,252970.00000000,252970,248,497,False,345.02
75,252970.00000000,252970,248,497,False,349.67
76,252970.00000000,252970,248,497,False,354.33
77,252970.00000000,252970,248,497,False,358.94
78,252970.00000000,252970,248,497,False,363.61
79,252970.00000000,252970,248,497,False,368.24
80,252970.00000000,252970,248,497,False,372.92
81,252970.00000000,252970,248,497,False,377.62
82,252970.00000000,252970,248,497,False,382.29
83,252970.00000000,252970,248,497,False,387.0
84,252970.00000000,252970,248,497,False,391.77
85,252970.00000000,252970,248,497,False,396.49
86,252970.00000000,252970,248,497,False,401.13
87,252970.00000000,252970,248,497,False,405.81
88,252970.00000000,252970,248,497,False,410.45
89,252970.00000000,252970,248,497,False,415.12
90,252970.00000000,252970,248,497,False,419.83
91,252970.00000000,252970,248,497,False,424.46
92,252970.00000000,252970,248,497,False,429.13
93,252970.00000000,252970,248,497,False,433.84
94,252970.00000000,252970,248,497,False,438.5
95,252970.00000000,252970,248,497,False,443.4
96,252970.00000000,252970,248,497,False,448.14
97,252970.00000000,252970,248,497,False,452.88
98,252970.00000000,252970,248,497,False,457.6
99,252970.00000000,252970,248,497,False,462.25
100,252970.00000000,252970,248,497,False,466.97
101,252970.00000000,252970,248,497,False,471.59
102,252970.00000000,252970,248,497,False,476.24
103,252970.00000000,252970,248,497,False,480.9
104,252970.00000000,252970,248,497,False,485.56
105,252970.00000000,252970,248,497,False,490.19
106,252970.00000000,252970,248,497,False,494.98
107,252970.00000000,252970,248,497,False,499.66
108,252970.00000000,252970,248,497,False,504.34
109,252970.00000000,252970,248,497,False,508.96
110,249990.00000000,249990,245,499,False,513.65
111,249990.00000000,249990,245,499,False,518.26
112,249990.00000000,249990,245,499,False,522.94
113,249990.00000000,249990,245,499,False,527.58
114,249990.00000000,249990,245,499,False,532.17
115,249990.00000000,249990,245,499,False,536.82
116,249990.00000000,249990,245,499,False,541.42
117,249990.00000000,249990,245,499,False,546.05
118,249990.00000000,249990,245,499,False,550.63
119,249990.00000000,249990,245,499,False,555.29
120,249990.00000000,249990,245,499,False,559.86
121,249990.00000000,249990,245,499,False,564.47
122,249990.00000000,249990,245,499,False,569.17
123,249990.00000000,249990,245,499,False,573.86
124,249990.00000000,249990,245,499,False,578.58
125,249990.00000000,249990,245,499,False,583.23
126,249990.00000000,249990,245,499,False,587.91
127,249990.00000000,249990,245,499,False,592.58
128,249990.00000000,249990,245,499,False,597.3
129,249990.00000000,249990,245,499,False,601.93
130,249990.00000000,249990,245,499,False,606.61
131,249990.00000000,249990,245,499,False,611.23
132,249990.00000000,249990,245,499,False,615.94
133,249990.00000000,249990,245,499,False,620.65
134,249990.00000000,249990,245,499,False,625.3
135,249990.00000000,249990,245,499,False,629.99
136,249990.00000000,249990,245,499,False,634.61
137,249990.00000000,249990,245,499,False,639.28
138,249990.00000000,249990,245,499,False,643.91
139,249990.00000000,249990,245,499,False,648.55
140,249990.00000000,249990,245,499,False,653.26
141,249990.00000000,249990,245,499,False,657.87
142,249990.00000000,249990,245,499,False,662.57
143,249990.00000000,249990,245,499,False,667.21
144,249990.00000000,249990,245,499,False,671.91
145,249990.00000000,249990,245,499,False,676.61
146,249990.00000000,249990,245,499,False,681.23
147,249990.00000000,249990,245,499,False,685.9
148,249990.00000000,249990,245,499,False,690.51
