iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,0.00000379,263800,259,480,False,2.77
2,0.00000397,251780,247,478,False,5.48
3,0.00000397,251780,247,478,False,8.15
4,0.00000397,251780,247,478,False,10.87
5,0.00000397,251780,247,478,False,13.53
6,0.00000397,251780,247,478,False,16.24
7,0.00000397,251780,247,478,False,18.89
8,0.00000397,251780,247,478,False,21.6
9,0.00000397,251780,247,478,False,24.23
10,0.00000397,251780,247,478,False,26.89
11,0.00000397,251780,247,478,False,29.61
12,0.00000397,251780,247,478,False,32.69
13,0.00000397,251780,247,478,False,35.58
14,0.00000397,251780,247,478,False,38.29
15,0.00000397,251780,247,478,False,40.95
16,0.00000397,251780,247,478,False,43.65
17,0.00000397,251780,247,478,False,46.34
18,0.00000397,251780,247,478,False,49.01
19,0.00000397,251780,247,478,False,51.68
20,0.00000397,251780,247,478,False,54.39
21,0.00000397,251780,247,478,False,57.03
22,0.00000397,251780,247,478,False,59.68
23,0.00000397,251780,247,478,False,62.39
24,0.00000397,251780,247,478,False,65.03
25,0.00000397,251780,247,478,False,67.7
26,0.00000397,251780,247,478,False,70.41
27,0.00000397,251780,247,478,False,73.07
28,0.00000397,251780,247,478,False,75.74
29,0.00000397,251780,247,478,False,78.5
30,0.00000397,251780,247,478,False,81.14
31,0.00000397,251780,247,478,False,83.79
32,0.00000397,251780,247,478,False,86.51
33,0.00000397,251780,247,478,False,89.16
34,0.00000397,251780,247,478,False,91.79
35,0.00000397,251780,247,478,False,94.5
36,0.00000397,251780,247,478,False,97.4
37,0.00000404,247830,243,483,False,100.15
38,0.00000404,247830,243,483,False,102.84
39,0.00000404,247830,243,483,False,105.51
40,0.00000404,247830,243,483,False,108.17
41,0.00000404,247830,243,483,False,110.89
42,0.00000404,247830,243,483,False,113.54
43,0.00000404,247830,243,483,False,116.18
44,0.00000404,247830,243,483,False,118.87
45,0.00000404,247830,243,483,False,121.51
46,0.00000404,247830,243,483,False,124.3
47,0.00000404,247830,243,483,False,127.04
48,0.00000404,247830,243,483,False,129.77
49,0.00000404,247830,243,483,False,132.42
50,0.00000404,247830,243,483,False,135.14
51,0.00000404,247830,243,483,False,137.87
52,0.00000404,247830,243,483,False,140.53
53,0.00000404,247830,243,483,False,143.27
54,0.00000404,247830,243,483,False,145.96
55,0.00000404,247830,243,483,False,148.61
56,0.00000404,247830,243,483,False,151.32
57,0.00000404,247830,243,483,False,154.06
58,0.00000404,247830,243,483,False,156.74
59,0.00000404,247830,243,483,False,159.47
60,0.00000404,247830,243,483,False,162.16
