iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,0.00000397,251730,247,473,False,3.82
2,0.00000409,244720,240,472,False,7.78
3,0.00000439,227580,223,458,False,11.19
4,0.00000457,218590,214,459,False,15.48
5,0.00000480,208470,204,447,False,19.43
6,0.00000480,208470,204,447,False,23.09
7,0.00000491,203720,199,472,False,27.0
8,0.00000499,200520,196,452,False,30.68
9,0.00000511,195620,191,462,False,34.41
10,0.00000511,195620,191,462,False,37.54
11,0.00000511,195620,191,462,False,41.06
12,0.00000511,195620,191,462,False,44.51
13,0.00000511,195620,191,462,False,47.25
14,0.00000511,195620,191,462,False,49.93
15,0.00000511,195620,191,462,False,52.53
16,0.00000511,195620,191,462,False,55.2
17,0.00000511,195620,191,462,False,57.99
18,0.00000511,195620,191,462,False,60.65
19,0.00000522,191650,187,465,False,63.45
20,0.00000522,191650,187,465,False,66.29
21,0.00000522,191650,187,465,False,69.34
22,0.00000527,189690,185,469,False,72.52
23,0.00000527,189690,185,469,False,75.69
24,0.00000531,188320,184,432,False,78.47
25,0.00000531,188320,184,432,False,81.09
26,0.00000531,188320,184,432,False,83.92
27,0.00000531,188320,184,432,False,86.68
28,0.00000531,188320,184,432,False,89.47
29,0.00000531,188320,184,432,False,92.16
30,0.00000531,188320,184,432,False,95.08
31,0.00000531,188320,184,432,False,97.72
32,0.00000531,188320,184,432,False,100.86
33,0.00000531,188320,184,432,False,104.31
34,0.00000531,188320,184,432,False,107.35
35,0.00000531,188320,184,432,False,110.34
36,0.00000531,188320,184,432,False,113.3
37,0.00000531,188320,184,432,False,116.69
38,0.00000531,188320,184,432,False,119.63
39,0.00000531,188320,184,432,False,122.86
40,0.00000531,188320,184,432,False,126.64
41,0.00000531,188320,184,432,False,130.07
42,0.00000531,188320,184,432,False,133.19
43,0.00000531,188320,184,432,False,136.38
44,0.00000531,188320,184,432,False,139.71
45,0.00000531,188320,184,432,False,142.68
46,0.00000531,188320,184,432,False,146.09
47,0.00000531,188320,184,432,False,148.98
48,0.00000533,187570,183,457,False,152.69
49,0.00000533,187570,183,457,False,156.03
50,0.00000533,187570,183,457,False,158.99
51,0.00000533,187570,183,457,False,162.12
52,0.00000533,187570,183,457,False,165.8
53,0.00000548,182540,178,454,False,168.91
54,0.00000548,182540,178,454,False,171.67
55,0.00000548,182540,178,454,False,175.14
56,0.00000548,182540,178,454,False,177.88
57,0.00000548,182540,178,454,False,180.97
58,0.00000548,182540,178,454,False,184.24
59,0.00000548,182540,178,454,False,187.77
60,0.00000548,182540,178,454,False,191.28
61,0.00000548,182540,178,454,False,194.9
62,0.00000548,182540,178,454,False,198.6
63,0.00000548,182540,178,454,False,202.03
64,0.00000548,182540,178,454,False,205.46
65,0.00000548,182540,178,454,False,209.09
66,0.00000548,182540,178,454,False,212.27
67,0.00000550,181820,177,482,False,215.3
68,0.00000550,181820,177,482,False,218.34
69,0.00000553,180720,176,472,False,221.04
70,0.00000553,180720,176,472,False,223.5
71,0.00000553,180720,176,472,False,226.07
72,0.00000553,180720,176,472,False,228.58
73,0.00000553,180720,176,472,False,231.08
74,0.00000553,180720,176,472,False,233.63
75,0.00000553,180720,176,472,False,236.18
76,0.00000560,178670,174,467,False,238.71
77,0.00000582,171880,167,488,False,241.18
78,0.00000582,171880,167,488,False,243.74
79,0.00000582,171880,167,488,False,246.19
80,0.00000582,171880,167,488,False,248.72
81,0.00000582,171880,167,488,False,251.19
82,0.00000593,168530,164,453,False,253.81
83,0.00000593,168530,164,453,False,256.28
84,0.00000593,168530,164,453,False,258.8
85,0.00000593,168530,164,453,False,261.23
86,0.00000593,168530,164,453,False,263.73
87,0.00000593,168530,164,453,False,266.3
88,0.00000593,168530,164,453,False,268.96
89,0.00000593,168530,164,453,False,271.56
90,0.00000593,168530,164,453,False,274.42
91,0.00000593,168530,164,453,False,277.3
92,0.00000593,168530,164,453,False,280.2
93,0.00000593,168530,164,453,False,282.95
94,0.00000593,168530,164,453,False,285.68
95,0.00000593,168530,164,453,False,288.57
96,0.00000593,168530,164,453,False,291.54
97,0.00000593,168530,164,453,False,294.4
98,0.00000593,168530,164,453,False,297.37
99,0.00000593,168530,164,453,False,300.31
100,0.00000593,168530,164,453,False,303.03
