Hari,Jam_Mulai,Jam_Selesai,Prodi,Kode_MK,Kelas,Nama_MK,Jenis,Ruang,Gedung,Lantai,Tipe_Ruang,Dosen,Dosen_Berminat,SKS,Kewajiban,Feasible
Fri,09:30,10:20,Pendidikan Teknologi Informasi,CSD60712,B,Probabilitas dan Statistika,lecture,F3.14,F,3,Kelas,77,True,3,1,False
Fri,09:30,10:20,Teknologi Informasi,COM60052,B,Etika Profesi,lecture,F3.6,F,3,Kelas,4,True,2,1,False
Fri,09:30,10:20,Teknologi Informasi,COM60014,A,Pemrograman Dasar,lecture,F3.7a,F,3,Kelas,82,True,5,1,False
Fri,09:30,10:20,Pendidikan Teknologi Informasi,COM60051,A,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F4.7,F,4,Kelas,100,True,3,1,False
Fri,09:30,10:20,Pendidikan Teknologi Informasi,CIE61114,A,Pendidikan Orang Dewasa dan Berkelanjutan,lecture,F4.9,F,4,Kelas,39,True,3,0,False
Fri,09:30,10:20,Sistem Informasi,CSD60705,A,Pemrograman SQL,practicum,G1.2,G,1,Lab,22,True,3,1,False
Fri,09:30,10:20,Pendidikan Teknologi Informasi,CIE61206,A,Jaringan Komputer,practicum,G1.5,G,1,Lab,17,True,3,1,False
Fri,09:30,10:20,Teknologi Informasi,CIT62003,D,Dasar Pengembangan Sistem informasi,practicum,G1.9,G,1,Lab,108,True,3,1,False
Fri,10:20,11:10,Teknologi Informasi,COM60016,B,Pengantar Keilmuan Komputer,lecture,F11.1,F,11,Kelas,62,True,2,1,False
Fri,10:20,11:10,Pendidikan Teknologi Informasi,COM60061,B,Capstone Project,lecture,F11.3,F,11,Kelas,4,True,3,1,False
Fri,10:20,11:10,Pendidikan Teknologi Informasi,CIE61301,B,Kalkulus dan Aljabar Linear,lecture,F3.10,F,3,Kelas,103,True,3,1,False
Fri,10:20,11:10,Pendidikan Teknologi Informasi,CIE61206,B,Jaringan Komputer,lecture,F4.13,F,4,Kelas,75,True,3,1,False
Fri,10:20,11:10,Pendidikan Teknologi Informasi,CIE61113,A,Pengembangan Program Pelatihan Teknologi Informasi,lecture,F4.9,F,4,Kelas,47,True,3,0,False
Fri,10:20,11:10,Sistem Informasi,CIS61125,A,Pengantar GeoInformasi,practicum,G1.7,G,1,Lab,87,True,3,0,False
Fri,10:20,11:10,Teknologi Informasi,CIT61026,B,Internet of Things,practicum,G1.8,G,1,Lab,17,True,4,1,False
Fri,10:20,11:10,Sistem Informasi,CIS61108,B,Rekayasa Sistem Informasi,practicum,G1.9,G,1,Lab,67,True,5,1,False
Fri,11:10,12:00,Teknologi Informasi,CSD60712,B,Probabilitas dan Statistika,lecture,F2.8,F,2,Kelas,93,True,3,1,False
Fri,11:10,12:00,Pendidikan Teknologi Informasi,CIE61110,B,Perancangan Pembelajaran,lecture,F3.1,F,3,Kelas,39,True,3,1,False
Fri,11:10,12:00,Pendidikan Teknologi Informasi,CIE61208,D,Basis Data,lecture,F3.11,F,3,Kelas,108,True,3,1,False
Fri,11:10,12:00,Teknologi Informasi,CIT61016,D,Data Sains,lecture,F3.13,F,3,Kelas,89,True,3,1,False
Fri,11:10,12:00,Sistem Informasi,COM60052,D,Etika Profesi,lecture,F3.5a,F,3,Kelas,4,True,2,1,False
Fri,11:10,12:00,Sistem Informasi,CSD60706,A,Administrasi Basis Data,lecture,F3.6,F,3,Kelas,75,True,3,1,False
Fri,11:10,12:00,Sistem Informasi,COM60016,B,Pengantar Keilmuan Komputer,lecture,F3.7a,F,3,Kelas,83,True,2,1,False
Fri,11:10,12:00,Pendidikan Teknologi Informasi,CSD60713,A,Jaringan Terapan,lecture,F3.7b,F,3,Kelas,90,True,3,0,False
Fri,11:10,12:00,Sistem Informasi,CIS62109,A,Pengujian dan Evaluasi Sistem Informasi,lecture,F3.8,F,3,Kelas,67,True,2,0,False
Fri,11:10,12:00,Pendidikan Teknologi Informasi,COM60051,C,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F3.9,F,3,Kelas,100,True,3,1,False
Fri,11:10,12:00,Teknologi Informasi,CIT61026,A,Internet of Things,lecture,F4.6,F,4,Kelas,17,True,4,1,False
Fri,12:00,12:50,Teknologi Informasi,CSD60714,A,Jaminan Kualitas Perangkat Lunak,lecture,F11.3,F,11,Kelas,1,True,3,0,False
Fri,12:00,12:50,Teknologi Informasi,COM60014,C,Pemrograman Dasar,lecture,F2.9,F,2,Kelas,67,True,5,1,False
Fri,12:00,12:50,Pendidikan Teknologi Informasi,COM60052,D,Etika Profesi,lecture,F3.10,F,3,Kelas,22,True,2,1,False
Fri,12:00,12:50,Teknologi Informasi,CIT61016,A,Data Sains,lecture,F3.14,F,3,Kelas,89,True,3,1,False
Fri,12:00,12:50,Sistem Informasi,CIS61113,B,Sistem Enterprise,lecture,F3.2,F,3,Kelas,76,True,3,1,False
Fri,12:00,12:50,Sistem Informasi,UBU60003,D,Kewirausahaan,lecture,F3.4,F,3,Kelas,62,True,2,1,False
Fri,12:00,12:50,Teknologi Informasi,CIT61015,D,Jaringan Komputer,lecture,F4.10,F,4,Kelas,75,True,4,1,False
Fri,12:00,12:50,Teknologi Informasi,COM60016,C,Pengantar Keilmuan Komputer,lecture,F4.12,F,4,Kelas,102,True,2,1,False
Fri,12:00,12:50,Sistem Informasi,CSD60711,D,Perancangan Pengalaman Pengguna,lecture,F4.13,F,4,Kelas,47,True,3,1,False
Fri,12:00,12:50,Teknologi Informasi,COM60051,D,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F4.2,F,4,Kelas,103,True,3,1,False
Fri,12:00,12:50,Sistem Informasi,COM60014,B,Pemrograman Dasar,lecture,F4.7,F,4,Kelas,91,True,5,1,False
Fri,12:00,12:50,Pendidikan Teknologi Informasi,CIE61206,D,Jaringan Komputer,practicum,G1.3,G,1,Lab,39,True,3,1,False
Fri,12:50,13:40,Sistem Informasi,CIS61104,A,Pengantar Sistem informasi,lecture,F11.4,F,11,Kelas,47,True,2,1,False
Fri,12:50,13:40,Teknologi Informasi,COM60015,B,Matematika Diskret,lecture,F2.1,F,2,Kelas,103,True,2,1,False
Fri,12:50,13:40,Pendidikan Teknologi Informasi,CIE61115,A,Manajemen Sistem Pendidikan,lecture,F2.4,F,2,Kelas,39,True,3,0,False
Fri,12:50,13:40,Teknologi Informasi,COM60016,A,Pengantar Keilmuan Komputer,lecture,F3.3,F,3,Kelas,90,True,2,1,False
Fri,12:50,13:40,Teknologi Informasi,CSD60708,A,Penambangan Data,lecture,F3.5a,F,3,Kelas,52,True,3,0,False
Fri,12:50,13:40,Sistem Informasi,CIS61103,A,Manajemen Bisnis,lecture,F3.5b,F,3,Kelas,108,True,2,1,False
Fri,12:50,13:40,Teknologi Informasi,COM60014,A,Pemrograman Dasar,lecture,F4.10,F,4,Kelas,82,True,5,1,False
Fri,12:50,13:40,Sistem Informasi,CSD60711,B,Perancangan Pengalaman Pengguna,lecture,F4.12,F,4,Kelas,60,True,3,1,False
Fri,12:50,13:40,Pendidikan Teknologi Informasi,CIE61108,D,Penilaian Hasil Belajar,lecture,F4.14,F,4,Kelas,100,True,3,1,False
Fri,12:50,13:40,Teknologi Informasi,COM60014,B,Pemrograman Dasar,lecture,F4.9,F,4,Kelas,91,True,5,1,False
Fri,12:50,13:40,Sistem Informasi,CIS61108,D,Rekayasa Sistem Informasi,practicum,G1.2,G,1,Lab,67,True,5,1,False
Fri,13:40,14:30,Sistem Informasi,COM60051,D,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F2.2,F,2,Kelas,87,True,3,1,False
Fri,13:40,14:30,Pendidikan Teknologi Informasi,CIE61101,B,Perkembangan Peserta Didik,lecture,F2.5,F,2,Kelas,59,True,3,1,False
Fri,13:40,14:30,Pendidikan Teknologi Informasi,CIE62204,A,Paradigma Sistem,lecture,F2.9,F,2,Kelas,6,True,2,1,False
Fri,13:40,14:30,Pendidikan Teknologi Informasi,COM60014,A,Pemrograman Dasar,lecture,F3.10,F,3,Kelas,91,True,5,1,False
Fri,13:40,14:30,Teknologi Informasi,COM60051,D,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F3.17,F,3,Kelas,103,True,3,1,False
Fri,13:40,14:30,Teknologi Informasi,CIT60042,A,Teknologi Blockchain dan Platform Keuangan Digital,lecture,F3.5a,F,3,Kelas,47,True,2,0,False
Fri,13:40,14:30,Pendidikan Teknologi Informasi,CIE61114,A,Pendidikan Orang Dewasa dan Berkelanjutan,lecture,F4.14,F,4,Kelas,39,True,3,0,False
Fri,13:40,14:30,Sistem Informasi,CIS61111,C,Sistem Informasi berbasis Kecerdasan Buatan,lecture,F4.2,F,4,Kelas,89,True,2,1,False
Fri,13:40,14:30,Pendidikan Teknologi Informasi,COM60051,B,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F4.3,F,4,Kelas,100,True,3,1,False
Fri,13:40,14:30,Teknologi Informasi,CSD60703,A,Tata Kelola Teknologi Informasi,lecture,F4.6,F,4,Kelas,15,True,3,1,False
Fri,13:40,14:30,Teknologi Informasi,CIT61026,D,Internet of Things,practicum,G1.4,G,1,Lab,17,True,4,1,False
