iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,0.00000501,199730,195,473,False,2.43
2,0.00000530,188640,184,464,False,4.78
3,0.00000536,186600,182,460,False,7.01
4,0.00000551,181580,177,458,False,9.21
5,0.00000556,179870,175,487,False,11.4
6,0.00000563,177620,173,462,False,13.59
7,0.00000563,177620,173,462,False,15.69
8,0.00000572,174700,170,470,False,17.92
9,0.00000572,174700,170,470,False,20.08
10,0.00000572,174700,170,470,False,22.2
11,0.00000572,174700,170,470,False,24.3
12,0.00000572,174700,170,470,False,26.4
13,0.00000572,174700,170,470,False,28.5
14,0.00000572,174700,170,470,False,30.63
15,0.00000572,174700,170,470,False,32.72
16,0.00000572,174700,170,470,False,34.76
17,0.00000580,172460,168,446,False,36.86
18,0.00000580,172460,168,446,False,38.88
19,0.00000580,172460,168,446,False,40.94
20,0.00000580,172460,168,446,False,42.98
21,0.00000583,171630,167,463,False,45.04
22,0.00000626,159750,155,475,False,47.11
23,0.00000626,159750,155,475,False,49.15
24,0.00000626,159750,155,475,False,51.31
25,0.00000626,159750,155,475,False,53.29
26,0.00000626,159750,155,475,False,55.31
27,0.00000626,159750,155,475,False,57.35
28,0.00000626,159750,155,475,False,59.38
29,0.00000626,159750,155,475,False,61.34
30,0.00000626,159750,155,475,False,63.38
31,0.00000626,159750,155,475,False,65.37
32,0.00000626,159750,155,475,False,67.39
33,0.00000626,159750,155,475,False,69.4
34,0.00000626,159750,155,475,False,71.37
35,0.00000626,159750,155,475,False,73.35
36,0.00000626,159750,155,475,False,75.3
37,0.00000626,159750,155,475,False,77.31
38,0.00000626,159750,155,475,False,79.27
39,0.00000626,159750,155,475,False,81.26
40,0.00000626,159750,155,475,False,83.24
41,0.00000626,159750,155,475,False,85.25
42,0.00000626,159750,155,475,False,87.2
43,0.00000626,159750,155,475,False,89.2
44,0.00000626,159750,155,475,False,91.15
45,0.00000626,159750,155,475,False,93.14
46,0.00000626,159750,155,475,False,95.1
47,0.00000626,159750,155,475,False,97.08
48,0.00000626,159750,155,475,False,99.02
49,0.00000626,159750,155,475,False,101.01
50,0.00000626,159750,155,475,False,102.93
51,0.00000626,159750,155,475,False,104.9
52,0.00000626,159750,155,475,False,107.01
53,0.00000626,159750,155,475,False,109.02
54,0.00000626,159750,155,475,False,111.07
55,0.00000626,159750,155,475,False,113.11
56,0.00000626,159750,155,475,False,115.05
57,0.00000626,159750,155,475,False,117.07
58,0.00000626,159750,155,475,False,119.07
59,0.00000626,159750,155,475,False,121.04
60,0.00000626,159750,155,475,False,123.02
61,0.00000626,159750,155,475,False,124.97
62,0.00000626,159750,155,475,False,126.97
63,0.00000626,159750,155,475,False,128.91
64,0.00000626,159750,155,475,False,130.89
65,0.00000626,159750,155,475,False,132.85
66,0.00000626,159750,155,475,False,134.83
67,0.00000626,159750,155,475,False,136.78
68,0.00000626,159750,155,475,False,138.76
69,0.00000626,159750,155,475,False,140.72
70,0.00000626,159750,155,475,False,142.73
71,0.00000626,159750,155,475,False,144.66
72,0.00000626,159750,155,475,False,146.64
73,0.00000626,159750,155,475,False,148.59
74,0.00000626,159750,155,475,False,150.61
75,0.00000626,159750,155,475,False,152.55
76,0.00000626,159750,155,475,False,154.54
77,0.00000626,159750,155,475,False,156.48
78,0.00000626,159750,155,475,False,158.45
79,0.00000626,159750,155,475,False,160.4
80,0.00000626,159750,155,475,False,162.39
81,0.00000626,159750,155,475,False,164.32
82,0.00000626,159750,155,475,False,166.32
83,0.00000626,159750,155,475,False,168.27
84,0.00000626,159750,155,475,False,170.24
85,0.00000626,159750,155,475,False,172.17
86,0.00000626,159750,155,475,False,174.17
87,0.00000626,159750,155,475,False,176.12
88,0.00000626,159750,155,475,False,178.18
89,0.00000626,159750,155,475,False,180.12
90,0.00000626,159750,155,475,False,182.1
91,0.00000626,159750,155,475,False,184.05
92,0.00000626,159750,155,475,False,186.05
93,0.00000626,159750,155,475,False,187.97
94,0.00000626,159750,155,475,False,189.99
95,0.00000626,159750,155,475,False,191.94
96,0.00000626,159750,155,475,False,193.93
97,0.00000626,159750,155,475,False,195.86
98,0.00000626,159750,155,475,False,197.83
99,0.00000626,159750,155,475,False,199.79
100,0.00000626,159750,155,475,False,201.78
101,0.00000626,159750,155,475,False,203.72
102,0.00000626,159750,155,475,False,205.69
103,0.00000626,159750,155,475,False,207.63
104,0.00000626,159750,155,475,False,209.59
105,0.00000626,159750,155,475,False,211.52
106,0.00000626,159750,155,475,False,213.63
107,0.00000626,159750,155,475,False,215.84
108,0.00000626,159750,155,475,False,218.05
109,0.00000626,159750,155,475,False,220.6
110,0.00000626,159750,155,475,False,223.12
111,0.00000626,159750,155,475,False,225.43
112,0.00000626,159750,155,475,False,227.73
113,0.00000626,159750,155,475,False,229.86
114,0.00000626,159750,155,475,False,231.94
115,0.00000626,159750,155,475,False,233.89
116,0.00000626,159750,155,475,False,235.88
117,0.00000626,159750,155,475,False,237.93
118,0.00000626,159750,155,475,False,240.07
119,0.00000626,159750,155,475,False,242.01
120,0.00000626,159750,155,475,False,244.02
121,0.00000626,159750,155,475,False,245.96
122,0.00000626,159750,155,475,False,247.97
123,0.00000626,159750,155,475,False,249.91
124,0.00000626,159750,155,475,False,251.93
125,0.00000626,159750,155,475,False,253.88
126,0.00000626,159750,155,475,False,255.86
127,0.00000626,159750,155,475,False,257.89
128,0.00000626,159750,155,475,False,259.82
129,0.00000626,159750,155,475,False,261.79
130,0.00000626,159750,155,475,False,263.73
131,0.00000626,159750,155,475,False,265.72
132,0.00000626,159750,155,475,False,267.67
133,0.00000626,159750,155,475,False,269.65
134,0.00000626,159750,155,475,False,271.57
135,0.00000626,159750,155,475,False,273.57
136,0.00000626,159750,155,475,False,275.51
137,0.00000626,159750,155,475,False,277.47
138,0.00000626,159750,155,475,False,279.39
139,0.00000626,159750,155,475,False,281.37
140,0.00000626,159750,155,475,False,283.29
141,0.00000626,159750,155,475,False,285.46
142,0.00000626,159750,155,475,False,287.38
143,0.00000626,159750,155,475,False,289.37
144,0.00000626,159750,155,475,False,291.29
145,0.00000626,159750,155,475,False,293.28
146,0.00000626,159750,155,475,False,295.2
147,0.00000626,159750,155,475,False,297.18
148,0.00000626,159750,155,475,False,299.11
149,0.00000626,159750,155,475,False,301.08
150,0.00000626,159750,155,475,False,303.01
151,0.00000626,159750,155,475,False,304.99
152,0.00000626,159750,155,475,False,306.93
153,0.00000626,159750,155,475,False,308.9
154,0.00000626,159750,155,475,False,310.81
155,0.00000626,159750,155,475,False,312.81
156,0.00000626,159750,155,475,False,314.74
157,0.00000626,159750,155,475,False,316.79
158,0.00000626,159750,155,475,False,318.8
159,0.00000626,159750,155,475,False,320.85
160,0.00000626,159750,155,475,False,322.79
161,0.00000626,159750,155,475,False,324.76
162,0.00000626,159750,155,475,False,326.69
163,0.00000626,159750,155,475,False,328.65
164,0.00000626,159750,155,475,False,330.59
165,0.00000626,159750,155,475,False,332.57
166,0.00000626,159750,155,475,False,334.5
167,0.00000627,159440,155,444,False,336.49
