Iterasi,Fitness,Heavy_Total,Light_Total,Feasible,Runtime_s
25,0.00000089,1121,1255,False,289.22
50,0.00000089,1121,1255,False,570.89
75,0.00000089,1121,1255,False,845.6
100,0.00000089,1118,1226,False,1131.59
125,0.00000090,1115,1227,False,1410.08
150,0.00000090,1115,1227,False,1700.22
175,0.00000090,1115,1227,False,1982.19
200,0.00000090,1115,1227,False,2269.72
225,0.00000090,1115,1227,False,2560.16
250,0.00000090,1115,1227,False,2851.77
275,0.00000090,1115,1227,False,3137.42
300,0.00000090,1114,1214,False,3424.99
325,0.00000090,1114,1214,False,3700.78
350,0.00000090,1114,1214,False,3960.04
375,0.00000090,1114,1214,False,4219.71
400,0.00000090,1114,1214,False,4488.14
425,0.00000090,1114,1214,False,4742.27
450,0.00000090,1114,1214,False,4995.65
475,0.00000090,1114,1214,False,5249.26
500,0.00000090,1114,1214,False,5503.41
525,0.00000090,1114,1214,False,5756.91
550,0.00000090,1114,1214,False,6009.97
575,0.00000090,1114,1214,False,6262.78
600,0.00000090,1114,1214,False,6515.64
625,0.00000090,1114,1214,False,6768.89
650,0.00000090,1114,1214,False,7022.42
675,0.00000090,1114,1214,False,7275.91
700,0.00000090,1114,1214,False,7529.68
725,0.00000090,1114,1214,False,7782.74
750,0.00000090,1114,1214,False,8035.16
775,0.00000090,1110,1227,False,8288.35
800,0.00000090,1110,1227,False,8541.64
825,0.00000090,1110,1227,False,8794.65
850,0.00000090,1110,1227,False,9047.76
875,0.00000090,1110,1227,False,9300.86
900,0.00000090,1110,1227,False,9554.18
925,0.00000090,1110,1227,False,9807.01
950,0.00000090,1110,1227,False,10060.27
975,0.00000090,1110,1227,False,10312.99
1000,0.00000090,1110,1227,False,10565.18
