iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,199730.00000000,199730,195,473,False,3.85
2,188640.00000000,188640,184,464,False,7.34
3,186600.00000000,186600,182,460,False,10.53
4,181580.00000000,181580,177,458,False,13.64
5,179870.00000000,179870,175,487,False,16.78
6,177620.00000000,177620,173,462,False,20.04
7,177620.00000000,177620,173,462,False,23.6
8,174700.00000000,174700,170,470,False,26.76
9,174700.00000000,174700,170,470,False,29.73
10,174700.00000000,174700,170,470,False,32.95
11,174700.00000000,174700,170,470,False,35.93
12,174700.00000000,174700,170,470,False,39.15
13,174700.00000000,174700,170,470,False,42.64
14,174700.00000000,174700,170,470,False,45.49
15,174700.00000000,174700,170,470,False,48.08
16,174700.00000000,174700,170,470,False,50.49
17,172460.00000000,172460,168,446,False,52.84
18,172460.00000000,172460,168,446,False,55.17
19,172460.00000000,172460,168,446,False,57.83
20,172460.00000000,172460,168,446,False,60.44
21,171630.00000000,171630,167,463,False,63.13
22,159750.00000000,159750,155,475,False,65.53
23,159750.00000000,159750,155,475,False,67.9
24,159750.00000000,159750,155,475,False,70.21
25,159750.00000000,159750,155,475,False,72.51
26,159750.00000000,159750,155,475,False,74.76
27,159750.00000000,159750,155,475,False,77.24
28,159750.00000000,159750,155,475,False,79.71
29,159750.00000000,159750,155,475,False,82.12
30,159750.00000000,159750,155,475,False,84.59
31,159750.00000000,159750,155,475,False,88.72
32,159750.00000000,159750,155,475,False,91.46
33,159750.00000000,159750,155,475,False,94.51
34,159750.00000000,159750,155,475,False,97.57
35,159750.00000000,159750,155,475,False,100.75
36,159750.00000000,159750,155,475,False,103.6
37,159750.00000000,159750,155,475,False,106.37
38,159750.00000000,159750,155,475,False,109.7
39,159750.00000000,159750,155,475,False,112.97
40,159750.00000000,159750,155,475,False,116.2
41,159750.00000000,159750,155,475,False,119.03
42,159750.00000000,159750,155,475,False,122.18
43,159750.00000000,159750,155,475,False,125.23
44,159750.00000000,159750,155,475,False,128.26
45,159750.00000000,159750,155,475,False,131.87
46,159750.00000000,159750,155,475,False,134.46
47,159750.00000000,159750,155,475,False,136.63
48,159750.00000000,159750,155,475,False,138.72
49,159750.00000000,159750,155,475,False,140.84
50,159750.00000000,159750,155,475,False,143.13
51,159750.00000000,159750,155,475,False,145.35
52,159750.00000000,159750,155,475,False,147.88
53,159750.00000000,159750,155,475,False,150.27
54,159750.00000000,159750,155,475,False,153.23
55,159750.00000000,159750,155,475,False,155.99
56,159750.00000000,159750,155,475,False,158.63
57,159750.00000000,159750,155,475,False,161.41
58,159750.00000000,159750,155,475,False,164.88
59,159750.00000000,159750,155,475,False,168.89
60,159750.00000000,159750,155,475,False,171.95
61,159750.00000000,159750,155,475,False,174.31
62,159750.00000000,159750,155,475,False,176.6
63,159750.00000000,159750,155,475,False,178.92
64,159750.00000000,159750,155,475,False,181.13
65,159750.00000000,159750,155,475,False,183.6
66,159750.00000000,159750,155,475,False,185.81
67,159750.00000000,159750,155,475,False,188.59
68,159750.00000000,159750,155,475,False,192.13
69,159750.00000000,159750,155,475,False,194.74
70,159750.00000000,159750,155,475,False,197.07
71,159750.00000000,159750,155,475,False,199.57
72,159750.00000000,159750,155,475,False,202.25
73,159750.00000000,159750,155,475,False,205.31
74,159750.00000000,159750,155,475,False,208.93
75,159750.00000000,159750,155,475,False,211.86
76,159750.00000000,159750,155,475,False,214.8
77,159750.00000000,159750,155,475,False,217.39
78,159750.00000000,159750,155,475,False,219.95
79,159750.00000000,159750,155,475,False,222.67
80,159750.00000000,159750,155,475,False,225.59
81,159750.00000000,159750,155,475,False,229.02
82,159750.00000000,159750,155,475,False,232.36
83,159750.00000000,159750,155,475,False,235.02
84,159750.00000000,159750,155,475,False,237.44
85,159750.00000000,159750,155,475,False,239.94
86,159750.00000000,159750,155,475,False,243.14
87,159750.00000000,159750,155,475,False,246.64
88,159750.00000000,159750,155,475,False,250.33
89,159750.00000000,159750,155,475,False,253.91
90,159750.00000000,159750,155,475,False,256.83
91,159750.00000000,159750,155,475,False,259.27
92,159750.00000000,159750,155,475,False,261.73
93,159750.00000000,159750,155,475,False,264.5
94,159750.00000000,159750,155,475,False,267.29
95,159750.00000000,159750,155,475,False,271.01
96,159750.00000000,159750,155,475,False,274.86
97,159750.00000000,159750,155,475,False,278.97
98,159750.00000000,159750,155,475,False,282.03
99,159750.00000000,159750,155,475,False,285.79
100,159750.00000000,159750,155,475,False,288.57
