iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,195790.00000000,195790,191,479,False,2.71
2,195790.00000000,195790,191,479,False,5.29
3,191020.00000000,191020,186,502,False,7.77
4,188670.00000000,188670,184,467,False,10.16
5,188670.00000000,188670,184,467,False,12.55
6,185630.00000000,185630,181,463,False,15.0
7,185630.00000000,185630,181,463,False,17.32
8,185630.00000000,185630,181,463,False,19.66
9,185630.00000000,185630,181,463,False,21.95
10,175700.00000000,175700,171,470,False,24.25
11,175700.00000000,175700,171,470,False,26.56
12,175700.00000000,175700,171,470,False,28.82
13,175700.00000000,175700,171,470,False,31.12
14,175610.00000000,175610,171,461,False,33.36
15,174810.00000000,174810,170,481,False,35.65
16,174810.00000000,174810,170,481,False,37.87
17,172610.00000000,172610,168,461,False,40.15
18,172610.00000000,172610,168,461,False,42.39
19,172610.00000000,172610,168,461,False,45.18
20,172610.00000000,172610,168,461,False,48.08
21,172610.00000000,172610,168,461,False,50.89
22,172610.00000000,172610,168,461,False,53.46
23,172610.00000000,172610,168,461,False,55.72
24,171560.00000000,171560,167,456,False,58.03
25,171560.00000000,171560,167,456,False,60.23
26,171560.00000000,171560,167,456,False,62.5
27,171560.00000000,171560,167,456,False,64.68
28,171560.00000000,171560,167,456,False,66.94
29,171560.00000000,171560,167,456,False,69.14
30,171560.00000000,171560,167,456,False,71.37
31,171560.00000000,171560,167,456,False,73.56
32,171560.00000000,171560,167,456,False,75.86
33,165740.00000000,165740,161,474,False,78.03
34,162570.00000000,162570,158,457,False,80.26
35,162570.00000000,162570,158,457,False,82.51
36,162570.00000000,162570,158,457,False,84.73
37,162570.00000000,162570,158,457,False,86.94
38,162570.00000000,162570,158,457,False,89.15
39,162570.00000000,162570,158,457,False,91.36
40,162570.00000000,162570,158,457,False,93.55
41,162570.00000000,162570,158,457,False,95.76
42,162570.00000000,162570,158,457,False,97.93
43,162570.00000000,162570,158,457,False,100.14
44,162570.00000000,162570,158,457,False,102.29
45,162570.00000000,162570,158,457,False,104.51
46,162570.00000000,162570,158,457,False,106.65
47,162570.00000000,162570,158,457,False,109.62
48,162570.00000000,162570,158,457,False,111.76
49,162570.00000000,162570,158,457,False,113.96
50,162570.00000000,162570,158,457,False,116.14
51,162570.00000000,162570,158,457,False,118.33
52,162570.00000000,162570,158,457,False,120.56
53,162570.00000000,162570,158,457,False,122.72
54,162570.00000000,162570,158,457,False,124.93
55,162570.00000000,162570,158,457,False,127.08
56,162570.00000000,162570,158,457,False,129.27
57,162570.00000000,162570,158,457,False,131.42
58,162570.00000000,162570,158,457,False,133.62
59,162570.00000000,162570,158,457,False,135.84
60,162570.00000000,162570,158,457,False,138.05
61,162570.00000000,162570,158,457,False,140.21
62,162570.00000000,162570,158,457,False,142.41
63,162570.00000000,162570,158,457,False,144.56
64,159740.00000000,159740,155,474,False,146.79
65,159740.00000000,159740,155,474,False,148.93
66,159740.00000000,159740,155,474,False,151.13
67,159740.00000000,159740,155,474,False,153.28
68,159740.00000000,159740,155,474,False,155.46
69,159740.00000000,159740,155,474,False,157.62
70,159740.00000000,159740,155,474,False,159.82
71,159740.00000000,159740,155,474,False,161.98
72,159740.00000000,159740,155,474,False,164.18
73,159740.00000000,159740,155,474,False,166.33
74,159740.00000000,159740,155,474,False,168.53
75,159740.00000000,159740,155,474,False,170.69
76,159740.00000000,159740,155,474,False,172.9
77,159740.00000000,159740,155,474,False,175.06
78,159740.00000000,159740,155,474,False,177.25
79,159740.00000000,159740,155,474,False,179.39
80,159740.00000000,159740,155,474,False,181.58
81,159740.00000000,159740,155,474,False,183.75
82,159740.00000000,159740,155,474,False,185.96
83,159740.00000000,159740,155,474,False,188.11
84,159740.00000000,159740,155,474,False,190.33
85,159740.00000000,159740,155,474,False,192.48
86,159740.00000000,159740,155,474,False,194.72
87,159740.00000000,159740,155,474,False,196.85
88,159740.00000000,159740,155,474,False,199.04
89,159740.00000000,159740,155,474,False,201.21
90,159740.00000000,159740,155,474,False,203.41
91,159740.00000000,159740,155,474,False,205.57
92,159740.00000000,159740,155,474,False,207.79
93,159740.00000000,159740,155,474,False,210.05
94,159740.00000000,159740,155,474,False,212.24
95,159740.00000000,159740,155,474,False,214.4
96,159740.00000000,159740,155,474,False,216.66
97,159740.00000000,159740,155,474,False,218.83
98,159740.00000000,159740,155,474,False,221.05
99,159740.00000000,159740,155,474,False,223.21
100,159740.00000000,159740,155,474,False,225.42
101,159740.00000000,159740,155,474,False,227.56
102,159740.00000000,159740,155,474,False,229.78
103,159740.00000000,159740,155,474,False,231.92
104,159740.00000000,159740,155,474,False,234.13
105,159740.00000000,159740,155,474,False,236.32
106,159740.00000000,159740,155,474,False,238.5
107,159740.00000000,159740,155,474,False,240.66
108,159740.00000000,159740,155,474,False,242.83
109,159740.00000000,159740,155,474,False,244.99
110,159740.00000000,159740,155,474,False,247.17
111,159740.00000000,159740,155,474,False,249.3
112,159740.00000000,159740,155,474,False,251.54
113,159740.00000000,159740,155,474,False,253.68
114,159740.00000000,159740,155,474,False,255.93
115,159740.00000000,159740,155,474,False,258.07
116,159740.00000000,159740,155,474,False,260.27
117,159740.00000000,159740,155,474,False,262.51
118,159740.00000000,159740,155,474,False,264.81
119,159740.00000000,159740,155,474,False,267.12
120,159740.00000000,159740,155,474,False,269.38
121,159740.00000000,159740,155,474,False,271.56
122,159740.00000000,159740,155,474,False,273.71
123,159740.00000000,159740,155,474,False,275.9
124,159740.00000000,159740,155,474,False,278.05
125,159740.00000000,159740,155,474,False,280.19
126,159740.00000000,159740,155,474,False,282.4
127,159740.00000000,159740,155,474,False,284.55
128,159740.00000000,159740,155,474,False,286.74
129,159740.00000000,159740,155,474,False,288.88
130,159740.00000000,159740,155,474,False,291.08
131,159740.00000000,159740,155,474,False,293.22
132,159740.00000000,159740,155,474,False,295.62
133,159740.00000000,159740,155,474,False,297.91
134,159740.00000000,159740,155,474,False,300.18
135,159740.00000000,159740,155,474,False,302.35
136,159740.00000000,159740,155,474,False,304.55
137,159740.00000000,159740,155,474,False,306.72
138,159740.00000000,159740,155,474,False,308.89
139,159740.00000000,159740,155,474,False,311.02
140,159740.00000000,159740,155,474,False,313.2
141,159740.00000000,159740,155,474,False,315.55
142,159740.00000000,159740,155,474,False,317.75
143,159740.00000000,159740,155,474,False,319.88
144,159740.00000000,159740,155,474,False,322.07
145,159740.00000000,159740,155,474,False,324.22
146,159740.00000000,159740,155,474,False,326.41
147,159740.00000000,159740,155,474,False,328.55
148,159740.00000000,159740,155,474,False,330.74
149,159740.00000000,159740,155,474,False,332.87
150,159740.00000000,159740,155,474,False,335.06
151,159740.00000000,159740,155,474,False,337.19
152,159740.00000000,159740,155,474,False,339.37
153,159740.00000000,159740,155,474,False,341.52
154,159740.00000000,159740,155,474,False,343.7
155,159740.00000000,159740,155,474,False,345.85
156,159740.00000000,159740,155,474,False,348.03
157,159740.00000000,159740,155,474,False,350.18
158,159740.00000000,159740,155,474,False,352.38
159,159740.00000000,159740,155,474,False,354.51
160,159740.00000000,159740,155,474,False,356.69
161,159740.00000000,159740,155,474,False,358.83
162,159740.00000000,159740,155,474,False,361.01
163,159740.00000000,159740,155,474,False,363.15
164,159740.00000000,159740,155,474,False,365.33
165,159740.00000000,159740,155,474,False,367.48
166,159740.00000000,159740,155,474,False,369.66
167,159740.00000000,159740,155,474,False,371.79
168,159740.00000000,159740,155,474,False,374.0
169,159740.00000000,159740,155,474,False,376.2
170,159740.00000000,159740,155,474,False,378.38
171,159740.00000000,159740,155,474,False,380.52
172,159740.00000000,159740,155,474,False,382.68
173,159740.00000000,159740,155,474,False,384.84
174,159740.00000000,159740,155,474,False,387.06
175,159740.00000000,159740,155,474,False,389.25
176,159740.00000000,159740,155,474,False,391.46
177,159740.00000000,159740,155,474,False,393.59
178,159740.00000000,159740,155,474,False,395.76
179,159740.00000000,159740,155,474,False,397.92
180,159740.00000000,159740,155,474,False,400.12
181,159740.00000000,159740,155,474,False,402.27
182,159740.00000000,159740,155,474,False,404.46
183,159740.00000000,159740,155,474,False,406.61
184,152720.00000000,152720,148,472,False,408.8
185,152720.00000000,152720,148,472,False,410.92
186,152720.00000000,152720,148,472,False,413.11
187,152720.00000000,152720,148,472,False,415.24
188,152720.00000000,152720,148,472,False,417.41
189,152720.00000000,152720,148,472,False,419.55
190,152720.00000000,152720,148,472,False,421.74
191,152720.00000000,152720,148,472,False,423.87
192,152720.00000000,152720,148,472,False,426.05
193,152720.00000000,152720,148,472,False,428.19
194,152720.00000000,152720,148,472,False,430.37
195,152720.00000000,152720,148,472,False,432.67
196,152720.00000000,152720,148,472,False,434.96
197,152720.00000000,152720,148,472,False,437.12
198,152720.00000000,152720,148,472,False,439.3
199,152720.00000000,152720,148,472,False,441.45
200,152720.00000000,152720,148,472,False,443.66
201,152720.00000000,152720,148,472,False,445.81
202,152720.00000000,152720,148,472,False,448.0
203,152720.00000000,152720,148,472,False,450.15
204,152720.00000000,152720,148,472,False,452.31
205,152720.00000000,152720,148,472,False,454.44
206,152720.00000000,152720,148,472,False,456.63
207,152720.00000000,152720,148,472,False,458.77
208,152720.00000000,152720,148,472,False,460.96
209,152720.00000000,152720,148,472,False,463.06
210,152720.00000000,152720,148,472,False,465.25
211,152720.00000000,152720,148,472,False,467.37
212,152720.00000000,152720,148,472,False,469.58
213,152720.00000000,152720,148,472,False,471.71
214,152720.00000000,152720,148,472,False,473.89
215,152720.00000000,152720,148,472,False,476.05
216,152720.00000000,152720,148,472,False,478.23
217,152720.00000000,152720,148,472,False,480.36
218,152720.00000000,152720,148,472,False,482.54
219,152720.00000000,152720,148,472,False,484.66
220,152720.00000000,152720,148,472,False,486.85
221,152720.00000000,152720,148,472,False,488.99
222,152720.00000000,152720,148,472,False,491.19
223,152720.00000000,152720,148,472,False,493.31
224,152720.00000000,152720,148,472,False,495.57
225,152720.00000000,152720,148,472,False,497.81
226,152720.00000000,152720,148,472,False,500.06
227,152720.00000000,152720,148,472,False,502.39
228,152720.00000000,152720,148,472,False,504.69
229,152720.00000000,152720,148,472,False,506.96
230,152720.00000000,152720,148,472,False,509.16
231,152720.00000000,152720,148,472,False,511.32
232,147670.00000000,147670,143,467,False,513.54
233,147670.00000000,147670,143,467,False,515.66
234,147670.00000000,147670,143,467,False,517.84
235,147670.00000000,147670,143,467,False,519.98
236,147670.00000000,147670,143,467,False,522.16
237,147670.00000000,147670,143,467,False,524.3
238,147670.00000000,147670,143,467,False,526.48
239,147670.00000000,147670,143,467,False,528.61
240,147670.00000000,147670,143,467,False,530.79
241,147670.00000000,147670,143,467,False,532.92
242,147670.00000000,147670,143,467,False,535.1
243,147670.00000000,147670,143,467,False,537.23
244,147670.00000000,147670,143,467,False,539.4
245,147670.00000000,147670,143,467,False,541.64
246,147670.00000000,147670,143,467,False,543.8
247,147670.00000000,147670,143,467,False,545.91
248,147670.00000000,147670,143,467,False,548.11
249,147670.00000000,147670,143,467,False,550.25
250,147670.00000000,147670,143,467,False,552.44
251,147670.00000000,147670,143,467,False,554.59
252,147670.00000000,147670,143,467,False,556.76
253,147670.00000000,147670,143,467,False,558.88
254,147670.00000000,147670,143,467,False,561.19
255,147670.00000000,147670,143,467,False,563.77
256,147670.00000000,147670,143,467,False,565.95
257,147670.00000000,147670,143,467,False,568.09
258,147670.00000000,147670,143,467,False,570.29
259,147670.00000000,147670,143,467,False,572.46
260,147670.00000000,147670,143,467,False,574.65
261,147670.00000000,147670,143,467,False,576.77
262,147670.00000000,147670,143,467,False,578.95
263,147670.00000000,147670,143,467,False,581.09
264,147670.00000000,147670,143,467,False,583.28
265,147670.00000000,147670,143,467,False,585.43
266,147670.00000000,147670,143,467,False,587.63
267,147670.00000000,147670,143,467,False,589.77
268,147670.00000000,147670,143,467,False,591.97
269,147670.00000000,147670,143,467,False,594.09
270,147670.00000000,147670,143,467,False,596.28
271,147670.00000000,147670,143,467,False,598.4
272,147670.00000000,147670,143,467,False,600.58
273,147670.00000000,147670,143,467,False,602.71
274,147670.00000000,147670,143,467,False,604.89
275,147670.00000000,147670,143,467,False,607.02
276,147670.00000000,147670,143,467,False,609.2
