iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,185830.00000000,185830,181,483,False,4.41
2,180750.00000000,180750,176,475,False,8.63
3,180750.00000000,180750,176,475,False,12.73
4,180750.00000000,180750,176,475,False,16.73
5,180650.00000000,180650,176,465,False,20.81
6,177770.00000000,177770,173,477,False,24.88
7,177770.00000000,177770,173,477,False,29.01
8,177770.00000000,177770,173,477,False,33.07
9,177770.00000000,177770,173,477,False,37.05
10,171660.00000000,171660,167,466,False,40.96
11,171660.00000000,171660,167,466,False,45.63
12,171660.00000000,171660,167,466,False,49.46
13,171660.00000000,171660,167,466,False,53.22
14,171660.00000000,171660,167,466,False,57.02
15,171660.00000000,171660,167,466,False,60.83
16,171660.00000000,171660,167,466,False,64.67
17,171660.00000000,171660,167,466,False,68.43
18,171630.00000000,171630,167,463,False,72.12
19,171630.00000000,171630,167,463,False,75.87
20,171630.00000000,171630,167,463,False,79.68
21,171630.00000000,171630,167,463,False,83.46
22,171630.00000000,171630,167,463,False,87.19
23,171630.00000000,171630,167,463,False,90.93
24,171630.00000000,171630,167,463,False,94.6
25,169750.00000000,169750,165,475,False,98.38
26,169750.00000000,169750,165,475,False,102.14
27,169750.00000000,169750,165,475,False,105.87
28,169750.00000000,169750,165,475,False,109.6
29,169750.00000000,169750,165,475,False,113.31
30,169750.00000000,169750,165,475,False,116.96
31,169750.00000000,169750,165,475,False,120.67
32,169750.00000000,169750,165,475,False,124.37
33,169750.00000000,169750,165,475,False,128.06
34,169750.00000000,169750,165,475,False,131.77
35,169750.00000000,169750,165,475,False,135.38
36,169750.00000000,169750,165,475,False,139.16
37,167760.00000000,167760,163,476,False,143.09
38,167760.00000000,167760,163,476,False,146.74
39,167760.00000000,167760,163,476,False,150.46
40,167760.00000000,167760,163,476,False,154.09
41,167760.00000000,167760,163,476,False,157.75
42,164800.00000000,164800,160,480,False,161.46
43,164800.00000000,164800,160,480,False,165.21
44,164800.00000000,164800,160,480,False,168.88
45,164660.00000000,164660,160,466,False,172.46
46,164660.00000000,164660,160,466,False,176.17
47,164660.00000000,164660,160,466,False,179.84
48,164660.00000000,164660,160,466,False,183.54
49,164660.00000000,164660,160,466,False,187.19
50,160500.00000000,160500,156,450,False,190.8
51,160500.00000000,160500,156,450,False,194.45
52,160500.00000000,160500,156,450,False,198.09
53,160500.00000000,160500,156,450,False,201.83
54,160500.00000000,160500,156,450,False,205.54
55,160500.00000000,160500,156,450,False,209.2
56,160500.00000000,160500,156,450,False,212.8
57,160500.00000000,160500,156,450,False,216.46
58,160500.00000000,160500,156,450,False,220.1
59,160500.00000000,160500,156,450,False,223.78
60,160500.00000000,160500,156,450,False,227.4
61,160500.00000000,160500,156,450,False,231.06
62,160500.00000000,160500,156,450,False,234.7
63,160500.00000000,160500,156,450,False,238.35
64,155770.00000000,155770,151,477,False,241.98
65,155770.00000000,155770,151,477,False,245.67
66,155770.00000000,155770,151,477,False,249.3
67,155770.00000000,155770,151,477,False,252.93
68,155770.00000000,155770,151,477,False,256.54
69,155770.00000000,155770,151,477,False,260.22
70,155770.00000000,155770,151,477,False,263.85
71,155770.00000000,155770,151,477,False,267.47
72,155770.00000000,155770,151,477,False,271.13
73,155770.00000000,155770,151,477,False,274.75
74,155770.00000000,155770,151,477,False,278.28
75,155770.00000000,155770,151,477,False,281.91
76,155770.00000000,155770,151,477,False,285.57
77,155770.00000000,155770,151,477,False,289.23
78,155770.00000000,155770,151,477,False,292.86
79,155770.00000000,155770,151,477,False,296.42
80,155770.00000000,155770,151,477,False,300.05
81,155770.00000000,155770,151,477,False,303.68
82,155770.00000000,155770,151,477,False,307.31
83,155770.00000000,155770,151,477,False,310.95
84,155770.00000000,155770,151,477,False,314.5
85,155770.00000000,155770,151,477,False,318.13
86,155770.00000000,155770,151,477,False,321.76
87,155770.00000000,155770,151,477,False,325.44
88,155770.00000000,155770,151,477,False,329.01
89,155720.00000000,155720,151,472,False,332.68
90,155720.00000000,155720,151,472,False,336.33
91,155720.00000000,155720,151,472,False,339.98
92,155720.00000000,155720,151,472,False,343.7
93,155720.00000000,155720,151,472,False,347.28
94,155720.00000000,155720,151,472,False,350.9
95,155720.00000000,155720,151,472,False,354.52
96,155720.00000000,155720,151,472,False,358.16
97,155720.00000000,155720,151,472,False,361.74
98,155720.00000000,155720,151,472,False,365.43
99,155720.00000000,155720,151,472,False,369.05
100,155720.00000000,155720,151,472,False,372.71
