Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CSD60709,Keamanan Siber,Pendidikan Teknologi Informasi,1,Pengampu,63,CSD60709,2,0,1
CSD60709,Keamanan Siber,Pendidikan Teknologi Informasi,1,Pengampu,65,CSD60709,2,0,1
CSD60709,Keamanan Siber,Pendidikan Teknologi Informasi,1,Pengampu,75,CSD60709,2,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92,CIE62303,3,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CIE62303,3,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",30,CIE62303,3,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",107,CIE62303,3,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,16,CIE62303,3,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,20,CIE62303,3,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,29,CIE62303,3,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,52,CIE62303,3,0,1
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,97,CIE62303,3,0,1
UBU60003,Kewirausahaan,Pendidikan Teknologi Informasi,2,Pengampu,62,UBU60003,2,0,1
CIE61103,Komunikasi dan Teknologi Pendidikan,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103,CIE61103,3,0,1
CIE61103,Komunikasi dan Teknologi Pendidikan,Pendidikan Teknologi Informasi,1,Pengampu,39,CIE61103,3,0,1
