Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CIS62108,Enterprise Architecture I,Sistem Informasi,1,Pengampu,62,CIS62108,2,0,1
CIS62108,Enterprise Architecture I,Sistem Informasi,1,Pengampu,76,CIS62108,2,0,1
CIS62108,Enterprise Architecture I,Sistem Informasi,1,Pengampu,87,CIS62108,2,0,1
CIS62108,Enterprise Architecture I,Sistem Informasi,2,Pengampu,87,CIS62108,2,0,1
CIS61123,Enterprise Architecture II,Sistem Informasi,1,Pengampu,76,CIS61123,3,1,0
CIS61123,Enterprise Architecture II,Sistem Informasi,1,Pengampu,87,CIS61123,3,1,0
CIS61123,Enterprise Architecture II,Sistem Informasi,2,Pengampu,6,CIS61123,3,1,0
COM60052,Etika Profesi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,COM60052,2,0,1
COM60052,Etika Profesi,Sistem Informasi,1,"Pengelola, Pengampu",4,COM60052,2,0,1
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",4,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",12,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",16,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",47,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",55,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",62,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,Pengampu,60,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,Pengampu,83,CIS62126,3,0,0
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,Pengampu,87,CIS62126,3,0,0
CIS62125,GeoInformasi Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",11,CIS62125,3,1,0
CIS62125,GeoInformasi Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,CIS62125,3,1,0
CIS60107,Gudang Data,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",72,CSD60709,3,0,0
CIS60107,Gudang Data,Sistem Informasi,1,"Pengelola, Pengampu",73,CSD60709,3,0,0
CIS60107,Gudang Data,Sistem Informasi,1,"Pengelola, Pengampu",102,CSD60709,3,0,0
CIS60107,Gudang Data,Sistem Informasi,2,Pengampu,16,CSD60709,3,0,0
CIS61102,Infrastruktur Teknologi Informasi,Sistem Informasi,1,Pengampu,17,CIS61102,2,0,1
CIS61102,Infrastruktur Teknologi Informasi,Sistem Informasi,2,Pengampu,103,CIS61102,2,0,1
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,1,Pengampu,16,CIS62103,2,0,1
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,1,Pengampu,17,CIS62103,2,0,1
